"WID","login_count","level","playcount_sum","playtime_sum"
W10001,2,5,2,397
W10004,12,14,6,6411
W10005,31,11,5,3871
W10006,13,12,12,5151
W10007,17,14,7,4532
W10008,5,11,5,4652
W10009,1,1,1,963
W10010,5,7,4,3489
W10011,11,8,2,2771
W10012,1,1,8,2644
W10013,136,32,207,126902
W10014,6,8,4,3913
W10015,3,1,1,1601
W10017,168,29,98,74093
W10018,3,2,2,2001
W10019,8,14,5,4540
W10021,2,7,1,1530
W10022,11,14,8,8488
W10023,12,11,10,2575
W10024,6,7,3,2705
W10025,11,10,4,2051
W10026,24,13,19,14088
W10027,29,21,51,29706
W10028,7,11,8,10135
W10029,16,13,16,10381
W10030,367,48,510,528815
W10031,6,1,2,1329
W10032,481,38,664,280049
W10035,16,6,5,2413
W10036,9,10,7,5255
W10037,10,2,1,478
W10038,3400,57,4487,1662060
W10039,9,10,9,6137
W10040,3950,56,2969,1325992
W10041,21,18,30,16572
W10042,12,22,43,43665
W10043,17,11,15,7085
W10045,6,13,4,3852
W10046,2,1,6,1265
W10047,3,1,2,1472
W10049,8,9,2,377
W10050,39,25,72,48297
W10052,146,27,85,32035
W10053,3,7,1,1571
W10055,9,14,10,8655
W10058,9,5,3,1381
W10059,91,16,13,9139
W10060,38,2,1,463
W10061,36,23,27,24165
W10062,4,4,1,1549
W10064,18,10,12,4127
W10065,36,24,39,33636
W10066,6,10,4,6500
W10067,782,27,80,67702
W10068,9,10,5,3575
W10069,264,31,200,73522
W10070,13,9,4,2455
W10071,10,9,4,2362
W10072,7,8,1,1559
W10073,554,43,1001,516674
W10074,269,21,133,51060
W10075,24,15,10,10100
W10076,62,24,144,42719
W10077,62,25,97,40699
W10078,2,2,1,865
W10079,3,1,1,94
W10081,9,4,8,2608
W10082,2,5,1,747
W10083,7,1,3,1451
W10085,3,8,5,6185
W10086,5,12,11,9341
W10087,2,6,3,1740
W10088,2720,53,2833,1342097
W10089,24,21,56,36089
W10090,104,28,147,69547
W10091,336,40,455,254357
W10095,8,8,4,4966
W10096,5,7,3,2071
W10097,2,1,2,361
W10098,17,14,5,5059
W10099,23,14,18,18686
W10101,117,11,4,3368
W10103,9,8,6,3668
W10104,10,20,11,15995
W10107,10,7,1,1631
W10108,31,12,3,1320
W10110,80,25,77,37504
W10111,26,18,20,19583
W10112,918,40,641,347419
W10114,13,12,16,11883
W10115,18,12,10,8167
W10116,19,11,6,3097
W10118,27,22,48,26399
W10120,1119,51,1640,864495
W10121,7,2,3,1043
W10122,187,31,327,158986
W10125,148,32,217,123801
W10126,8,6,5,1631
W10127,37,24,131,75765
W10128,47,20,44,25983
W10129,8,9,5,4744
W10130,776,52,1135,664992
W10131,4,12,3,3209
