"WID","login_count","level"
W10001,2,5
W10002,1,1
W10003,1,1
W10004,12,14
W10005,31,11
W10006,13,12
W10007,17,14
W10008,5,11
W10009,1,1
W10010,5,7
W10011,11,8
W10012,1,1
W10013,136,32
W10014,6,8
W10015,3,1
W10016,2,1
W10017,168,29
W10018,3,2
W10019,8,14
W10020,1,1
W10021,2,7
W10022,11,14
W10023,12,11
W10024,6,7
W10025,11,10
W10026,24,13
W10027,29,21
W10028,7,11
W10029,16,13
W10030,367,48
W10031,6,1
W10032,481,38
W10033,5,4
W10034,1,1
W10035,16,6
W10036,9,10
W10037,10,2
W10038,3400,57
W10039,9,10
W10040,3950,56
W10041,21,18
W10042,12,22
W10043,17,11
W10044,6,9
W10045,6,13
W10046,2,1
W10047,3,1
W10048,1,1
W10049,8,9
W10050,39,25
W10051,2,1
W10052,146,27
W10053,3,7
W10054,4,2
W10055,9,14
W10056,2,1
W10057,2,1
W10058,9,5
W10059,91,16
W10060,38,2
W10061,36,23
W10062,4,4
W10063,3,1
W10064,18,10
W10065,36,24
W10066,6,10
W10067,782,27
W10068,9,10
W10069,264,31
W10070,13,9
W10071,10,9
W10072,7,8
W10073,554,43
W10074,269,21
W10075,24,15
W10076,62,24
W10077,62,25
W10078,2,2
W10079,3,1
W10080,1,1
W10081,9,4
W10082,2,5
W10083,7,1
W10084,6,1
W10085,3,8
W10086,5,12
W10087,2,6
W10088,2720,53
W10089,24,21
W10090,104,28
W10091,336,40
W10092,6,1
W10093,1,1
W10094,1,1
W10095,8,8
W10096,5,7
W10097,2,1
W10098,17,14
W10099,23,14
W10100,2,1
W10101,117,11
W10102,2,1
W10103,9,8
W10104,10,20
W10105,1,1
W10106,4,2
W10107,10,7
W10108,31,12
W10109,1,1
W10110,80,25
W10111,26,18
W10112,918,40
W10113,5,1
W10114,13,12
W10115,18,12
W10116,19,11
W10117,2,1
W10118,27,22
W10119,1,1
W10120,1119,51
W10121,7,2
W10122,187,31
W10123,1,1
W10124,1,1
W10125,148,32
W10126,8,6
W10127,37,24
W10128,47,20
W10129,8,9
W10130,776,52
W10131,4,12
W10132,2,1
W10133,3,1
W10134,2,1
W10135,23,7
W10136,42,24
W10137,45,20
W10138,1,1
W10139,1,1
W10140,3,1
W10141,10,14
W10142,5,3
W10143,108,32
W10144,1,1
W10145,6,7
W10146,2,5
W10147,3,3
W10148,9,3
W10149,21,22
W10150,1,1
W10151,24,25
W10152,3,13
W10153,5,12
W10154,13,2
W10155,7,17
W10156,201,38
W10157,293,29
W10158,6,2
W10159,1,1
W10160,672,47
W10161,380,32
W10162,16,13
W10163,4,9
W10164,1205,57
W10165,4,4
W10166,27,13
W10167,52,22
W10168,7,3
W10169,20,12
W10170,3,2
W10171,580,43
W10172,2,1
W10173,3,7
W10174,13,10
W10175,1,1
W10176,4,14
W10177,411,41
W10178,103,22
W10179,3,1
W10180,71,23
W10181,26,19
W10182,7,8
W10183,9,7
W10184,265,23
W10185,1,1
W10186,3,1
W10187,15,6
W10188,11,13
W10189,14,6
W10190,43,2
W10191,7,3
W10192,90,28
W10193,4,2
W10194,4,1
W10195,12,1
W10196,466,37
W10197,8,6
W10198,62,24
W10199,1,1
W10200,21,19
W10201,325,9
W10202,4,3
W10203,27,13
W10204,5,16
W10205,24,24
W10206,1,1
W10207,3,1
W10208,205,29
W10209,4,1
W10210,3,1
W10211,4,6
W10212,274,33
W10213,1,1
W10214,13,12
W10215,5,2
W10216,65,14
W10217,39,18
W10218,7,2
W10219,2,1
W10220,3,2
W10221,11,14
W10222,1,1
W10223,2,1
W10224,136,30
W10225,24,19
W10226,2,1
W10227,20,6
W10228,6,7
W10229,4,1
W10230,3,8
W10231,2,1
W10232,88,24
W10233,59,27
W10234,1,1
W10235,124,33
W10236,16,16
W10237,5,6
W10238,2,1
W10239,29,4
W10240,5,1
W10241,11,1
W10242,52,17
W10243,2,3
W10244,1,1
W10245,3,1
W10246,10,6
W10247,12,14
W10248,21,16
W10249,1,1
W10250,6,8
W10251,17,12
W10252,193,30
W10253,32,10
W10254,717,47
W10255,9,16
W10256,14,13
W10257,215,31
W10258,9,9
W10259,408,34
W10260,10,6
W10261,33,18
W10262,2,2
W10263,26,8
W10264,2,8
W10265,118,32
W10266,7,11
W10267,50,14
W10268,81,22
W10269,18,10
W10270,6,7
W10271,4,9
W10272,6,1
W10273,1,1
W10274,399,42
W10275,6,12
W10276,3,1
W10277,67,16
W10278,3,1
W10279,3,1
W10280,1,1
W10281,245,31
W10282,453,43
W10283,2,1
W10284,162,26
W10285,2,1
W10286,2,1
W10287,11,3
W10288,3,1
W10289,56,33
W10290,1,1
W10291,2,1
W10292,8,6
W10293,78,25
W10294,12,5
W10295,3,6
W10296,15,10
W10297,3,7
W10298,138,26
W10299,1,1
W10300,4,2
W10301,23,3
W10302,2,1
W10303,1,1
W10304,37,17
W10305,1066,49
W10306,295,27
W10307,5,8
W10308,162,36
W10309,38,21
W10310,3,2
W10311,4,7
W10312,68,26
W10313,1755,44
W10314,43,15
W10315,210,28
W10316,146,29
W10317,1,1
W10318,20,12
W10319,9,11
W10320,1,1
W10321,3,7
W10322,12,9
W10323,15,15
W10324,7,7
W10325,2,1
W10326,29,18
W10327,2,1
W10328,3,6
W10329,19,14
W10330,3,1
W10331,5,8
W10332,4,10
W10333,28,14
W10334,51,24
W10335,16,11
W10336,9,1
W10337,21,18
W10338,54,16
W10339,127,17
W10340,12,14
W10341,75,15
W10342,7,3
W10343,5,5
W10344,45,16
W10345,2,2
W10346,13,2
W10347,36,26
W10348,76,6
W10349,405,38
W10350,107,37
W10351,2,2
W10352,28,19
W10353,9,12
W10354,9,12
W10355,7,7
W10356,1,1
W10357,4,2
W10358,1,1
W10359,3,1
W10360,4,2
W10361,3,8
W10362,13,18
W10363,130,39
W10364,1,1
W10365,5,5
W10366,32,15
W10367,50,22
W10368,329,43
W10369,3,14
W10370,1,1
W10371,1,1
W10372,1,1
W10373,11,16
W10374,39,31
W10375,2,1
W10376,17,16
W10377,9,9
W10378,118,20
W10379,2311,65
W10380,2923,59
W10381,370,44
W10382,2,2
W10383,10,2
W10384,3,1
W10385,11,11
W10386,30227,59
W10387,60,25
W10388,1,1
W10389,16,11
W10390,8,9
W10391,2,2
W10392,34,19
W10393,10,17
W10394,10,13
W10395,10,14
W10396,242,29
W10397,1,1
W10398,4628,57
W10399,3,1
W10400,5,8
W10401,3,2
W10402,29,18
W10403,12,11
W10404,60,22
W10405,4,3
W10406,3,7
W10407,97,29
W10408,1,1
W10409,131,21
W10410,5,9
W10411,12,6
W10412,32,17
W10413,6,1
W10414,8,1
W10415,393,37
W10416,1,1
W10417,4,8
W10418,3,1
W10419,7,11
W10420,8,9
W10421,2,2
W10422,5,8
W10423,393,37
W10424,204,35
W10425,196,30
W10426,5,1
W10427,15,14
W10428,914,52
W10429,18,17
W10430,17,15
W10431,2,1
W10432,1,1
W10433,9,1
W10434,624,42
W10435,91,28
W10436,14,6
W10437,6,5
W10438,1,1
W10439,2,1
W10440,6,12
W10441,14,21
W10442,29,22
W10443,3,2
W10444,4,2
W10445,247,29
W10446,4,4
W10447,74,23
W10448,50,20
W10449,46,25
W10450,2,1
W10451,3,1
W10452,73,11
W10453,58,16
W10454,78,29
W10455,1836,55
W10456,208,24
W10457,2,1
W10458,2,1
W10459,21,1
W10460,30,27
W10461,4,2
W10462,8,2
W10463,3,1
W10464,1,1
W10465,2,8
W10466,467,29
W10467,484,38
W10468,5,12
W10469,3,1
W10470,1,1
W10471,2,1
W10472,1,1
W10473,352,35
W10474,3,6
W10475,1211,48
W10476,2,1
W10477,15,9
W10478,14,6
W10479,6,1
W10480,2,1
W10481,2,1
W10482,6,4
W10483,2,4
W10484,8,2
W10485,8,1
W10486,30,17
W10487,35,17
W10488,12,3
W10489,7,6
W10490,12,13
W10491,70,20
W10492,18,14
W10493,10,16
W10494,7,9
W10495,1,1
W10496,2,1
W10497,173,32
W10498,158,34
W10499,51,15
W10500,1,1
W10501,5,11
W10502,14,1
W10503,1,1
W10504,2,1
W10505,219,45
W10506,12,21
W10507,533,36
W10508,3,5
W10509,4,1
W10510,32,1
W10511,188,23
